ngram	w1	w2	w3	w4	w5	n
dalam_waktu_dekat_ini_akan	dalam	waktu	dekat	ini	akan	68
akan_dilakukan_dalam_waktu_dekat	akan	dilakukan	dalam	waktu	dekat	28
dengan_catatan_waktu_menit_detik	dengan	catatan	waktu	menit	detik	28
itu_dalam_waktu_dekat_ini	itu	dalam	waktu	dekat	ini	22
waktu_dekat_ini_kami_akan	waktu	dekat	ini	kami	akan	22
dalam_waktu_dekat_akan_segera	dalam	waktu	dekat	akan	segera	20
membutuhkan_waktu_yang_cukup_lama	membutuhkan	waktu	yang	cukup	lama	18
dalam_waktu_dekat_ini_pihaknya	dalam	waktu	dekat	ini	pihaknya	17
waktu_yang_tidak_terlalu_lama	waktu	yang	tidak	terlalu	lama	17
akan_digelar_dalam_waktu_dekat	akan	digelar	dalam	waktu	dekat	15
dalam_waktu_dekat_akan_ada	dalam	waktu	dekat	akan	ada	15
waktu_dekat_ini_akan_segera	waktu	dekat	ini	akan	segera	15
waktu_dekat_ini_pihaknya_akan	waktu	dekat	ini	pihaknya	akan	15
digelar_dalam_waktu_dekat_ini	digelar	dalam	waktu	dekat	ini	14
dalam_waktu_dekat_ini_kami	dalam	waktu	dekat	ini	kami	13
dalam_waktu_yang_tidak_terlalu	dalam	waktu	yang	tidak	terlalu	13
dilakukan_dalam_waktu_dekat_ini	dilakukan	dalam	waktu	dekat	ini	13
yang_terjadi_beberapa_waktu_lalu	yang	terjadi	beberapa	waktu	lalu	13
dalam_waktu_dekat_kami_akan	dalam	waktu	dekat	kami	akan	12
dan_dalam_waktu_dekat_ini	dan	dalam	waktu	dekat	ini	12
akan_dilaksanakan_dalam_waktu_dekat	akan	dilaksanakan	dalam	waktu	dekat	11
dalam_waktu_dekat_ini_mereka	dalam	waktu	dekat	ini	mereka	11
dalam_waktu_dekat_ini_sudah	dalam	waktu	dekat	ini	sudah	11
dalam_waktu_dekat_pihaknya_akan	dalam	waktu	dekat	pihaknya	akan	11
memakan_waktu_yang_cukup_lama	memakan	waktu	yang	cukup	lama	11
dalam_kurun_waktu_tiga_bulan	dalam	kurun	waktu	tiga	bulan	10
dalam_waktu_dekat_ini_ujar	dalam	waktu	dekat	ini	ujar	10
dilaksanakan_dalam_waktu_dekat_ini	dilaksanakan	dalam	waktu	dekat	ini	10
yang_dalam_waktu_dekat_ini	yang	dalam	waktu	dekat	ini	10
adalah_waktu_yang_tepat_untuk	adalah	waktu	yang	tepat	untuk	9
dalam_waktu_dekat_ini_segera	dalam	waktu	dekat	ini	segera	9
dalam_waktu_yang_tidak_lama	dalam	waktu	yang	tidak	lama	9
kepada_wartawan_beberapa_waktu_lalu	kepada	wartawan	beberapa	waktu	lalu	9
maka_dalam_waktu_dekat_ini	maka	dalam	waktu	dekat	ini	9
menambahkan_dalam_waktu_dekat_ini	menambahkan	dalam	waktu	dekat	ini	9
mengatakan_dalam_waktu_dekat_ini	mengatakan	dalam	waktu	dekat	ini	9
merupakan_waktu_yang_tepat_untuk	merupakan	waktu	yang	tepat	untuk	9
pasti_dalam_waktu_dekat_ini	pasti	dalam	waktu	dekat	ini	9
yang_dalam_waktu_dekat_akan	yang	dalam	waktu	dekat	akan	9
berapa_lama_waktu_yang_dibutuhkan	berapa	lama	waktu	yang	dibutuhkan	8
catatan_waktu_jam_menit_detik	catatan	waktu	jam	menit	detik	8
dalam_kurun_waktu_tahun_terakhir	dalam	kurun	waktu	tahun	terakhir	8
dalam_waktu_dekat_akan_melakukan	dalam	waktu	dekat	akan	melakukan	8
dengan_catatan_waktu_jam_menit	dengan	catatan	waktu	jam	menit	8
meningkat_dari_waktu_ke_waktu	meningkat	dari	waktu	ke	waktu	8
pihaknya_dalam_waktu_dekat_ini	pihaknya	dalam	waktu	dekat	ini	8
yang_dilakukan_beberapa_waktu_lalu	yang	dilakukan	beberapa	waktu	lalu	8
batas_waktu_yang_belum_ditentukan	batas	waktu	yang	belum	ditentukan	7
batas_waktu_yang_telah_ditetapkan	batas	waktu	yang	telah	ditetapkan	7
catatan_waktu_terbaik_menit_detik	catatan	waktu	terbaik	menit	detik	7
dalam_waktu_dekat_ini_di	dalam	waktu	dekat	ini	di	7
dalam_waktu_dekat_ini_kata	dalam	waktu	dekat	ini	kata	7
dalam_waktu_dekat_ini_pihak	dalam	waktu	dekat	ini	pihak	7
dalam_waktu_yang_relatif_singkat	dalam	waktu	yang	relatif	singkat	7
dari_waktu_ke_waktu_terus	dari	waktu	ke	waktu	terus	7
di_sisa_waktu_lima_menit	di	sisa	waktu	lima	menit	7
di_waktu_yang_akan_datang	di	waktu	yang	akan	datang	7
harian_ini_beberapa_waktu_lalu	harian	ini	beberapa	waktu	lalu	7
ini_dalam_waktu_dekat_akan	ini	dalam	waktu	dekat	akan	7
masih_menunggu_waktu_yang_tepat	masih	menunggu	waktu	yang	tepat	7
pihaknya_dalam_waktu_dekat_akan	pihaknya	dalam	waktu	dekat	akan	7
pukul_waktu_setempat_atau_pukul	pukul	waktu	setempat	atau	pukul	7
saat_ini_adalah_waktu_yang	saat	ini	adalah	waktu	yang	7
segera_dilakukan_dalam_waktu_dekat	segera	dilakukan	dalam	waktu	dekat	7
tersebut_dalam_waktu_dekat_ini	tersebut	dalam	waktu	dekat	ini	7
waktu_dekat_ini_mereka_akan	waktu	dekat	ini	mereka	akan	7
waktu_yang_tepat_untuk_melakukan	waktu	yang	tepat	untuk	melakukan	7
yang_digelar_beberapa_waktu_lalu	yang	digelar	beberapa	waktu	lalu	7
akan_segera_dilakukan_dalam_waktu	akan	segera	dilakukan	dalam	waktu	6
dalam_kurun_waktu_lima_tahun	dalam	kurun	waktu	lima	tahun	6
dalam_waktu_yang_cukup_lama	dalam	waktu	yang	cukup	lama	6
dan_dalam_waktu_dekat_akan	dan	dalam	waktu	dekat	akan	6
dengan_catatan_waktu_terbaik_menit	dengan	catatan	waktu	terbaik	menit	6
di_sisa_waktu_enam_menit	di	sisa	waktu	enam	menit	6
ini_adalah_waktu_yang_tepat	ini	adalah	waktu	yang	tepat	6
menunggu_waktu_yang_tepat_untuk	menunggu	waktu	yang	tepat	untuk	6
pada_sekitar_pukul_waktu_setempat	pada	sekitar	pukul	waktu	setempat	6
sampai_batas_waktu_yang_ditentukan	sampai	batas	waktu	yang	ditentukan	6
selama_kurun_waktu_dua_tahun	selama	kurun	waktu	dua	tahun	6
sisa_waktu_lima_menit_detik	sisa	waktu	lima	menit	detik	6
terjadi_pada_pukul_waktu_setempat	terjadi	pada	pukul	waktu	setempat	6
waktu_beberapa_hari_ke_depan	waktu	beberapa	hari	ke	depan	6
waktu_dekat_ini_kita_akan	waktu	dekat	ini	kita	akan	6
waktu_dekat_ini_saya_akan	waktu	dekat	ini	saya	akan	6
waktu_dua_tahun_ke_depan	waktu	dua	tahun	ke	depan	6
waktu_lima_tahun_ke_depan	waktu	lima	tahun	ke	depan	6
yang_dari_waktu_ke_waktu	yang	dari	waktu	ke	waktu	6
ada_aral_melintang_dalam_waktu	ada	aral	melintang	dalam	waktu	5
akan_terjadi_dalam_waktu_dekat	akan	terjadi	dalam	waktu	dekat	5
aral_melintang_dalam_waktu_dekat	aral	melintang	dalam	waktu	dekat	5
dalam_jangka_waktu_yang_lama	dalam	jangka	waktu	yang	lama	5
dalam_kurun_waktu_dua_tahun	dalam	kurun	waktu	dua	tahun	5
dalam_kurun_waktu_kurang_dari	dalam	kurun	waktu	kurang	dari	5
dalam_kurun_waktu_tiga_tahun	dalam	kurun	waktu	tiga	tahun	5
dalam_waktu_beberapa_hari_ke	dalam	waktu	beberapa	hari	ke	5
dalam_waktu_dekat_ini_saya	dalam	waktu	dekat	ini	saya	5
dalam_waktu_dekat_ini_tim	dalam	waktu	dekat	ini	tim	5
dalam_waktu_dekat_kita_akan	dalam	waktu	dekat	kita	akan	5
